id,name,imageurl,birthday
1302082,David F. Sandberg,https://image.tmdb.org/t/p/w500/10p2i4OW0JWAbnOb7yMLUEGdSqM.jpg,1985-12-23
19271,Anthony Russo,https://image.tmdb.org/t/p/w500/fIa5wXK7MHAquhefTr3TcnZiYy8.jpg,1970-02-03
53069,Anna Boden,https://image.tmdb.org/t/p/w500/h5YMXdI42zb0uqn5UJHF4fT9AER.jpg,1976-09-20
65630,Rob Letterman,https://image.tmdb.org/t/p/w500/v2GPTQ41ZqHtML8W1ft3UJej5xA.jpg,
1424064,Kyouhei Yamaguchi,https://image.tmdb.org/t/p/w500/uAFzPnQsnGzkR9KlU260TsGMFI1.jpg,1981-01-02
1297518,Kazuaki Imai,https://image.tmdb.org/t/p/w500None,
57581,Neil Marshall,https://image.tmdb.org/t/p/w500/Au5p9cFlj2XVoVIECQ40ruOp1Qz.jpg,1970-05-25
1495940,Frankie Chen,https://image.tmdb.org/t/p/w500/3jfec79vr7xVdgW8qJgTdheYXyt.jpg,1974-09-21
95972,Hans Petter Moland,https://image.tmdb.org/t/p/w500/xPUm6zfCrmDZb8fkby2zzF6sp8z.jpg,1955-10-17
11614,M. Night Shyamalan,https://image.tmdb.org/t/p/w500/shV9dGXMj7zt7myRFkR6FR51LYu.jpg,1970-08-06
1586194,Jenny Gage,https://image.tmdb.org/t/p/w500/wdvHWFssy6KAliSrY89pvszBlmO.jpg,
84124,Tina Gordon Chism,https://image.tmdb.org/t/p/w500/2Vho1qUJBLUPlgh3c4bnXTPKZUs.jpg,
20739,Adam Shankman,https://image.tmdb.org/t/p/w500/alYdaxIYDvJZFnVrM2n01jcafKo.jpg,1964-11-27
1154561,Kevin Kölsch,https://image.tmdb.org/t/p/w500/4494wQuVUThEzLBAFkEPhXgpUyS.jpg,
69797,Dean DeBlois,https://image.tmdb.org/t/p/w500/vofzPcdNUzUD1xqaMUwMAJRgFiy.jpg,1970-06-07
1481804,Tomoka Nagaoka,https://image.tmdb.org/t/p/w500None,
1056121,Ryan Coogler,https://image.tmdb.org/t/p/w500/ddGaRFrlDdyR0OBTd1hAMWnfvim.jpg,1986-05-23
12891,Joss Whedon,https://image.tmdb.org/t/p/w500/dTiVsuaTVTeGmvkhcyJvKp2A5kr.jpg,1964-06-23
7879,John Lasseter,https://image.tmdb.org/t/p/w500/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg,1957-01-12
39189,Stephen Merchant,https://image.tmdb.org/t/p/w500/A70Gtg3kkTeCBgtFkSRPu9qfPQu.jpg,1974-11-24
510,Tim Burton,https://image.tmdb.org/t/p/w500/yHEHAHQpN9PfSEQx1UxZPczhcAi.jpg,1958-08-25
15218,James Gunn,https://image.tmdb.org/t/p/w500/2w2mprJhSucgA8pbM5BRdBKl3p9.jpg,1966-08-05
1607672,Michael Chaves,https://image.tmdb.org/t/p/w500/SOd71vk0kx5cJygzCifEOMGjRW.jpg,
59918,Rodney Rothman,https://image.tmdb.org/t/p/w500/3GlFmeP4me6uxZGVsmnC0d4A5BV.jpg,
150630,Nicholas McCarthy,https://image.tmdb.org/t/p/w500None,1970-11-10
55934,Taika Waititi,https://image.tmdb.org/t/p/w500/zCLBXGo5BS2e27srDBa5WpRnKul.jpg,1975-08-16
1362815,David Yarovesky,https://image.tmdb.org/t/p/w500/fNaQfVEnSrK6ff2bEaatRsEtMO2.jpg,
